OBJECTID,STNCODE,STNNAME,ADDRESS1,ADDRESS2,CITY,STATE,ZIP,STNTYPE,STFIPS
"944","MDV","Madisonville, KY","4765 Hanson Road","Red Cardinal Inn","Madisonville","KY","42431","BUS","21"
"945","MAA","Marion, AL","26400 Alabama Highway 14","Perry's Trading Post","Marion","AL","36756","BUS","01"
"946","MAI","Marion, IL","2100 West Main Street","Motel Marion","Marion","IL","62959","BUS","17"
"947","MRM","Mariposa, CA","Highway 140 and 7th Street","Midtown YARTS Bus Stop","Mariposa","CA","95338","BUS","06"
"948","MNM","Menomonie, WI","302 10th Avenue East","UW-Stout Memorial Union","Menomonie","WI","54751","BUS","55"
"949","MSQ","Mesquite, TX","1331 Highway 80 East","Greyhound Station","Mesquite","TX","75150","BUS","48"
"950","MLS","Miles City, MT","1019 Main Street","M & H Gas Station","Miles City","MT","59301","BUS","30"
"951","MTB","Minot, ND","300 18th Avenue SW","Jefferson Lines Bus Depot","Minot","ND","58701","BUS","38"
"952","MLA","Missoula, MT","1660 West Broadway Street","Greyhound Lines Terminal","Missoula","MT","59808","BUS","30"
"953","MEE","Monroe (Eastbound), WA","19746 US Highway 2","Community Transit Bus Stop Next to Grocery Outlet","Monroe (Eastbound)","WA","98272","BUS","53"
"954","MGM","Montgomery, AL","950 West South Boulevard","Starnes Travel, Inc.","Montgomery","AL","36105","BUS","01"
"955","MHD","Morehead City, NC","1001 Arendell Street","Train Station","Morehead City","NC","28557","BUS","37"
"956","MTV","Mt. Vernon, AL","20890 US Highway 43","McDonald's Restaurant","Mt. Vernon","AL","36560","BUS","01"
"957","MVI","Mt. Vernon, IL","102 Potomac Boulevard","McDonald's Restaurant","Mt. Vernon","IL","62864","BUS","17"
"958","NSH","Nashua, NH","8 North Southwood Drive","Transporation Center","Nashua","NH","03064","BUS","33"
"959","NVL","Nashville, TN","705 5th Avenue South","Greyhound Terminal","Nashville","TN","37203","BUS","47"
"960","NBR","New Bern, NC","203 South Front Street","Convention Center","New Bern","NC","28560","BUS","37"
"961","NCW","North Conway, NH","2760 White Mountain Highway","Eastern Slope Inn Resort","North Conway","NH","03860","BUS","33"
"962","OCP","Ocean Pines, MD","11011 Manklin Creek Road","Rite Aid Pharmacy","Ocean Pines","MD","21811","BUS","24"
"963","OSU","Oshkosh, WI","208 Osceola Street","University of Wisconsin Gruenhagen Conference Cen*","Oshkosh","WI","54901","BUS","55"
"964","OWO","Owosso, MI","109 Comstock Street","Indian Trails Bus Station","Owosso","MI","48867","BUS","26"
"982","SHG","Shreveport, LA","408 Fannin Street","Greyhound Station","Shreveport","LA","71101","BUS","22"
"983","SIY","Sidney, MT","1201 West Holly Street","Richland County Community Services Building","Sidney","MT","59270","BUS","30"
"984","STO","Sisters, OR","310 East Cascade Avenue","Ski Inn Restaurant","Sisters","OR","97759","BUS","41"
"985","SKE","Skykomish (Eastbound), WA","147 5th Street North","Sky Gas Station","Skykomish (Eastbound)","WA","98288","BUS","53"
"986","SMR","Smith River, CA","13450 US Highway 101 North","Shell Station Lucky 7 Casino Store","Smith River","CA","95567","BUS","06"
"987","SNY","Stanley, WI","604 South Broadway Street","Shell Station Travel Plaza","Stanley","WI","54768","BUS","55"
"988","SLN","Stateline, NV","169 Highway 50","Kingsbury Transit Center","Stateline","NV","89449","BUS","32"
"989","SVU","Stevens Point, WI","2050 4th Avenue","University of Wisconsin Health Enhancement Center","Stevens Point","WI","54481","BUS","55"
"990","TWC","Tawas City, MI","1020 West Lake Street","Bay Inn","Tawas City","MI","48763","BUS","26"
"991","TVF","The Villages-Lady Lake, FL","401 North US Highway 441","BP Gas Station/Kangaroo Express Market","Lady Lake","FL","32159","BUS","12"
"992","THM","Thomasville, AL","34390 US Highway 43","Chevron Gas Station","Thomasville","AL","36784","BUS","01"
"993","TOA","Torrance, CA","20575 Hamilton Avenue","Alpine Village MTA Transit Bus Stop","Torrance","CA","90502","BUS","06"
"994","TYL","Tyler, TX","303 North Bois D'Arc Street","Greyhound Station","Tyler","TX","75702","BUS","48"
"995","VKS","Vicksburg, MS","1295 South Frontage Road","Greyhound Bus Station","Vicksburg","MS","39180","BUS","28"
"996","VRB","Victorville, CA","16838 South D Street","Victor Valley Transit Center","Victorville","CA","92395","BUS","06"
"997","VNA","Vienna, IL","504 West Vine Street","Hospitality House of Vienna","Vienna","IL","62995","BUS","17"
"998","WCX","Waco, TX","301 South 8th Street","Transit Center","Waco","TX","76701","BUS","48"
"999","WWA","Walla Walla, WA","108 West Main Street","Transit Center","Walla Walla","WA","99362","BUS","53"
"1000","WPN","Waupun, WI","928 East Main Street","End of the Trail Candy Shop","Waupun","WI","53963","BUS","55"
"1001","WSJ","Wausau, WI","555 Jefferson Street","Transit Center","Wausau","WI","54403","BUS","55"
"1002","WCH","Westchester, CA","6860 Park Terrace Drive","Culver City Transit Northbound Route 6 Bus Stop","Westchester","CA","90045","BUS","06"
"1003","WSF","Westfield, WI","244 North Pioneer Park Road","Mobil Station","Westfield","WI","53964","BUS","55"
"1004","WES","Westwood-UCLA, CA","592 Gayley Ave.","Los Angeles MTA Westbound Route 2 Transit Bus Stop","Westwood-UCLA","CA","90024","BUS","06"
"1005","WHV","White Haven, PA","I-476, Exit 95/I-80, Exit 277, at Hwy 940","McDonald's Restaurant","White Haven","PA","18661","BUS","42"
"1006","WKB","Wilkes-Barre, PA","47 South Washington Street","Intermodal Transportation Center","Wilkes-Barre","PA","18701","BUS","42"
"1007","WIR","Wisconsin Rapids, WI","2611 West Grand Avenue","Lamers Connect Bus Station","Wisconsin Rapids","WI","54495","BUS","55"
"1008","WBN","Woodburn, OR","2900 Tom Tennant Drive","Transit Center","Woodburn","OR","97071","BUS","41"
"1009","CLK","Crater Lake, OR","Rim Drive","Community House at Rim Village","Crater Lake","OR","97604","BUS","41"
"1010","RNY","Klamath Falls, OR","5500 Running Y Road","Lodge","Klamath Falls","OR","97601","BUS","41"
"1011","SRK","Saratoga Springs, NY","267 Union Avenue","Entrance Bus Stop","Saratoga Springs","NY","12866","BUS","36"
"1012","STW","Stanwood, WA","27111 Florence Way","Station","Stanwood","WA","98292","RAIL","53"
"1013","TRM","Troy, MI","1201 Doyle Drive","Troy Transit Center","Troy","MI","48084","RAIL","26"
"1014","NBU","New Buffalo, MI","226 North Whittaker Street","Station","New Buffalo","MI","49117","RAIL","26"
"1015","NHT","Northampton, MA","170 Pleasant Street","Station","Northampton","MA","01060","RAIL","25"
"1016","GUT","Guthrie, OK","409 West Oklahoma Ave.","Santa Fe Depot","Guthrie","OK","73044","RAIL","40"
